periodo,anio,mes,idareapermisoconcesion,areapermisoconcesion,prod_pet_m3,prod_gas_km3,wells_with_oil,well_count,company_count,tef_sum
2025-12-01,2025,12,LCAM,LOMA CAMPANA,510554.6199999997,109436.93999999993,687,827,1,20393.41999999999
2025-12-01,2025,12,LAC,LA AMARGA CHICA,428654.0700000002,53893.41000000005,290,305,1,8306.559999999994
2025-12-01,2025,12,BNDS,BANDURRIA SUR,316762.45,63423.96,187,199,1,5221.839999999999
2025-12-01,2025,12,BAPO,BAJADA DEL PALO OESTE,251993.67299999995,29200.964,152,161,1,4394.6680000000015
2025-12-01,2025,12,LAS1,LA ANGOSTURA SUR I,171289.45000000004,39212.469999999994,48,48,1,1399.2900000000006
2025-12-01,2025,12,BCLI,BAJO DEL CHOIQUE - LA INVERNADA,111462.91,40618.97,29,31,1,855.0
2025-12-01,2025,12,LCA,LA CALERA,104893.683,282137.3689999999,94,116,1,2443.7277709999994
2025-12-01,2025,12,ETE,EL TRAPIAL ESTE,103367.46999999999,46267.01599999999,35,40,1,1014.5830000000001
2025-12-01,2025,12,AGUH,AGUADA DEL CHAÑAR,98327.85999999996,7746.259999999998,63,64,1,1664.83
2025-12-01,2025,12,RDA,RINCON DE ARANDA,91678.7329,5971.1582020000005,24,29,1,738.9444100000001
2025-12-01,2025,12,LAT,LINDERO ATRAVESADO,79552.85510000002,8852.644500000002,61,64,1,1883.2708100000007
2025-12-01,2025,12,BAPE,BAJADA DEL PALO ESTE,63388.83099999999,3643.611000000001,26,30,1,795.9010000000001
2025-12-01,2025,12,CANC,COIRON AMARGO SUR ESTE,54632.391200000005,3266.4942080000005,28,31,1,848.7111100000001
2025-12-01,2025,12,CDLO,CRUZ DE LORENA,53988.60999999998,5829.959999999999,62,64,1,1796.1700000000008
2025-12-01,2025,12,LAS2,LA ANGOSTURA SUR II,52164.39000000001,15321.680000000002,14,14,1,309.92999999999995
2025-12-01,2025,12,SBLA,SIERRAS BLANCAS,48356.27,4717.96,41,47,1,1176.26
