periodo,anio,mes,idempresa,empresa,prod_pet_m3,prod_gas_km3,wells_with_oil,well_count,tef_sum
2025-12-01,2025,12,YPF,YPF S.A.,1617379.7200000004,517398.3000000004,1383,1728,40009.22999999993
2025-12-01,2025,12,VST,VISTA ENERGY ARGENTINA SAU,343327.8210000002,37314.20200000002,205,228,5927.586000000002
2025-12-01,2025,12,SHE,SHELL ARGENTINA S.A.,166472.72000000003,45007.319999999985,154,173,4449.27
2025-12-01,2025,12,PAL,PAN AMERICAN ENERGY SL,164842.02642799998,226355.05833399988,122,192,4678.307553999999
2025-12-01,2025,12,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,112558.07000000002,43498.8,32,46,979.0
2025-12-01,2025,12,PLU,PLUSPETROL S.A.,110553.408,296423.16899999994,98,120,2541.8077709999993
2025-12-01,2025,12,CHE,CHEVRON ARGENTINA S.R.L.,103367.46999999999,46267.01599999999,35,41,1014.5830000000001
2025-12-01,2025,12,PAM,PAMPA ENERGIA S.A.,91678.7329,270755.87110200006,24,73,1685.6902520000006
2025-12-01,2025,12,PTRE,PETROLERA EL TREBOL S.A.,80427.67790000001,5309.568915999999,43,51,1305.9757100000002
2025-12-01,2025,12,TPT,TECPETROL S.A.,68518.64385400002,451513.30026799993,177,217,4424.071515999999
2025-12-01,2025,12,VMI,VACA MUERTA INVERSIONES SAU,24201.800000000003,9668.550000000001,14,26,250.29999999999995
2025-12-01,2025,12,APS,CAPEX S.A.,9665.509999999998,857.06,12,18,336.38
2025-12-01,2025,12,TAU,TOTAL AUSTRAL S.A.,8752.821332000001,301019.3312399999,40,100,2372.461094999999
2025-12-01,2025,12,GAL,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),7192.82,654.1965200000001,9,15,270.83334
2025-12-01,2025,12,PCR,PETROQUIMICA COMODORO RIVADAVIA S.A.,521.1771,166.31359,3,9,91.58333
2025-12-01,2025,12,BEN,BENTIA ENERGY S.A.,244.29,110.1,1,4,30.38
2025-12-01,2025,12,GGO,G Y G OIL SERVICE SRL,69.33,20.24,1,1,26.08
2025-12-01,2025,12,ACO,Petrolera Aconcagua Energia S.A.,31.98837169,1.608979163,1,2,30.84916667
2025-12-01,2025,12,OILS,OILSTONE ENERGIA S.A.,9.298384,0.0,1,3,31.0
2025-12-01,2025,12,AESA,ARGENTA ENERGIA S.A.,0.0,0.0,0,1,0.0
2025-12-01,2025,12,FXS,FLXS OGE S.A ,0.0,0.0,0,2,0.0
2025-12-01,2025,12,PES,PATAGONIA ENERGY S.A.,0.0,0.0,0,2,0.0
