periodo,anio,mes,idempresa,empresa,prod_pet_m3,wells_with_oil
2025-01-01,2025,1,YPF,YPF S.A.,1180398.1099999999,1177
2025-01-01,2025,1,VST,VISTA ENERGY ARGENTINA SAU,350349.457,158
2025-01-01,2025,1,SHE,SHELL ARGENTINA S.A.,150782.49000000002,132
2025-01-01,2025,1,PAL,PAN AMERICAN ENERGY SL,121141.01631300001,108
2025-02-01,2025,2,YPF,YPF S.A.,1074019.13,1165
2025-02-01,2025,2,VST,VISTA ENERGY ARGENTINA SAU,291010.39200000005,159
2025-02-01,2025,2,SHE,SHELL ARGENTINA S.A.,132473.81000000003,130
2025-02-01,2025,2,PAL,PAN AMERICAN ENERGY SL,114349.02628500003,111
2025-02-01,2025,2,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,29999.35,21
2025-03-01,2025,3,YPF,YPF S.A.,1211384.6399999997,1171
2025-03-01,2025,3,VST,VISTA ENERGY ARGENTINA SAU,312542.1110000002,163
2025-03-01,2025,3,PAL,PAN AMERICAN ENERGY SL,147182.22118000005,110
2025-03-01,2025,3,SHE,SHELL ARGENTINA S.A.,132246.30000000002,131
2025-03-01,2025,3,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,46024.9,22
2025-04-01,2025,4,YPF,YPF S.A.,1136756.2799999993,1189
2025-04-01,2025,4,VST,VISTA ENERGY ARGENTINA SAU,307848.45599999995,167
2025-04-01,2025,4,PAL,PAN AMERICAN ENERGY SL,140492.123979,111
2025-04-01,2025,4,SHE,SHELL ARGENTINA S.A.,113757.46999999999,131
2025-04-01,2025,4,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,48259.05999999998,24
2025-05-01,2025,5,YPF,YPF S.A.,1179184.260000001,1209
2025-05-01,2025,5,VST,VISTA ENERGY ARGENTINA SAU,326953.589,172
2025-05-01,2025,5,PAL,PAN AMERICAN ENERGY SL,136463.65355100008,111
2025-05-01,2025,5,SHE,SHELL ARGENTINA S.A.,119550.09999999999,138
2025-05-01,2025,5,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,55764.94000000001,24
2025-06-01,2025,6,YPF,YPF S.A.,1225292.5900000008,1256
2025-06-01,2025,6,VST,VISTA ENERGY ARGENTINA SAU,315799.80099999986,175
2025-06-01,2025,6,SHE,SHELL ARGENTINA S.A.,143912.09000000003,137
2025-06-01,2025,6,PAL,PAN AMERICAN ENERGY SL,130761.72766399996,117
2025-06-01,2025,6,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,58681.92999999999,25
2025-07-01,2025,7,YPF,YPF S.A.,1338824.3500000003,1278
2025-07-01,2025,7,VST,VISTA ENERGY ARGENTINA SAU,319337.286,177
2025-07-01,2025,7,SHE,SHELL ARGENTINA S.A.,164134.55,139
2025-07-01,2025,7,PAL,PAN AMERICAN ENERGY SL,146937.003923,118
2025-07-01,2025,7,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,64668.09,26
2025-08-01,2025,8,YPF,YPF S.A.,1383041.3200000043,1304
2025-08-01,2025,8,VST,VISTA ENERGY ARGENTINA SAU,326706.928,182
2025-08-01,2025,8,PAL,PAN AMERICAN ENERGY SL,151409.31385700003,120
2025-08-01,2025,8,SHE,SHELL ARGENTINA S.A.,146640.5700000001,139
2025-08-01,2025,8,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,65410.19000000001,22
2025-09-01,2025,9,YPF,YPF S.A.,1387430.1299999973,1314
2025-09-01,2025,9,VST,VISTA ENERGY ARGENTINA SAU,369356.26499999996,194
2025-09-01,2025,9,PAL,PAN AMERICAN ENERGY SL,158093.16373400003,125
2025-09-01,2025,9,SHE,SHELL ARGENTINA S.A.,139847.25000000006,138
2025-09-01,2025,9,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,60009.46000000001,26
2025-10-01,2025,10,YPF,YPF S.A.,1495180.8900000008,1329
2025-10-01,2025,10,VST,VISTA ENERGY ARGENTINA SAU,386607.2659999997,196
2025-10-01,2025,10,PAL,PAN AMERICAN ENERGY SL,180923.58924200007,124
2025-10-01,2025,10,SHE,SHELL ARGENTINA S.A.,170747.65999999997,150
2025-10-01,2025,10,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,70958.98,26
2025-11-01,2025,11,YPF,YPF S.A.,1498450.289999998,1340
2025-11-01,2025,11,VST,VISTA ENERGY ARGENTINA SAU,344429.7980000001,197
2025-11-01,2025,11,PAL,PAN AMERICAN ENERGY SL,176225.61072999996,123
2025-11-01,2025,11,SHE,SHELL ARGENTINA S.A.,166126.55,152
2025-11-01,2025,11,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,81536.41,33
2025-12-01,2025,12,YPF,YPF S.A.,1617379.7200000004,1383
2025-12-01,2025,12,VST,VISTA ENERGY ARGENTINA SAU,343327.8210000002,205
2025-12-01,2025,12,SHE,SHELL ARGENTINA S.A.,166472.72000000003,154
2025-12-01,2025,12,PAL,PAN AMERICAN ENERGY SL,164842.02642799998,122
2025-12-01,2025,12,PCN,PLUSPETROL CUENCA NEUQUINA S.R.L.,112558.07000000002,32
