periodo,anio,mes,job_count,well_count,etapas,arena_tn,agua_inyectada_m3
2011-12-01,2011,12,1,1,10,2228.715,17456.3
2012-01-01,2012,1,3,3,18,3923.91,28124.8
2012-02-01,2012,2,1,1,10,2214.63,14292.0
2012-04-01,2012,4,1,1,4,725.454545454545,7688.0
2012-05-01,2012,5,1,1,11,2220.795,14108.2
2012-06-01,2012,6,3,3,19,3014.7799999999997,20362.2
2012-07-01,2012,7,2,2,9,1467.0,9232.3
2012-08-01,2012,8,2,2,8,1345.1520992,12675.9
2012-09-01,2012,9,1,1,6,1207.035,5778.3
2012-10-01,2012,10,3,3,13,2673.81,11417.0
2012-11-01,2012,11,2,2,6,1192.855,6237.0
2012-12-01,2012,12,3,3,13,2697.566976,14432.7
2013-01-01,2013,1,5,5,29,4828.365,26222.600000000002
2013-02-01,2013,2,5,5,25,4246.325,22725.399999999998
2013-03-01,2013,3,4,4,19,4571.6900000000005,19432.4
2013-04-01,2013,4,8,8,36,7468.65,38750.5
2013-05-01,2013,5,12,12,54,10100.5194968,56604.663636363635
2013-06-01,2013,6,7,7,28,5789.545,36400.78999999999
2013-07-01,2013,7,5,5,26,5891.9400000000005,28385.1
2013-08-01,2013,8,6,6,27,5068.3490416,30527.8
2013-09-01,2013,9,13,13,61,12086.370000000003,64867.899999999994
2013-10-01,2013,10,15,15,74,15741.2851904,83502.0
2013-11-01,2013,11,14,14,72,13256.325,72759.70000000001
2013-12-01,2013,12,11,11,69,15276.823181818181,84668.43121019108
2014-01-01,2014,1,12,12,72,16246.484999999999,79289.63057324842
2014-02-01,2014,2,17,17,102,20429.53454545455,115529.36000000002
2014-03-01,2014,3,10,10,44,9850.815,48473.6
2014-04-01,2014,4,14,14,70,16568.28,84646.0
2014-05-01,2014,5,14,14,68,13104.630000000001,77531.6
2014-06-01,2014,6,15,15,82,17813.114999999998,86991.87
2014-07-01,2014,7,17,17,85,16605.27,91726.80500000002
2014-08-01,2014,8,14,14,93,18853.752727272735,99023.47000000002
2014-09-01,2014,9,10,10,49,9533.655000000002,53153.65341812401
2014-10-01,2014,10,16,16,78,14909.985000000002,74699.0
2014-11-01,2014,11,16,16,94,20022.725,106706.0
2014-12-01,2014,12,12,12,82,18375.260909090914,104966.0
2015-01-01,2015,1,20,20,111,26728.514999999996,113592.7
2015-02-01,2015,2,17,17,98,21799.243181818183,120576.57889
2015-03-01,2015,3,16,16,120,25934.010000000002,128783.79999999999
2015-04-01,2015,4,15,15,79,16905.68,74248.555946
2015-05-01,2015,5,16,16,91,17841.6336368,74423.15879
2015-06-01,2015,6,11,11,123,26934.74681818182,125091.4
2015-07-01,2015,7,12,12,103,21727.22625,85447.9822734692
2015-08-01,2015,8,6,6,65,13163.634999999998,56911.300964999995
2015-09-01,2015,9,22,22,132,30042.09681818182,187951.44159080007
2015-10-01,2015,10,14,14,154,37240.244999999995,156703.59999999998
2015-11-01,2015,11,19,19,91,20593.017727272734,118812.03506148573
2015-12-01,2015,12,5,5,73,11105.235,52466.72864
2016-01-01,2016,1,12,12,190,37360.89,197665.1
2016-02-01,2016,2,9,9,118,24286.24772727272,135124.82
2016-03-01,2016,3,13,13,144,34723.215,155706.09999999998
2016-04-01,2016,4,7,7,105,24687.045,116645.2
2016-05-01,2016,5,11,11,148,32268.267727272723,185928.69
2016-06-01,2016,6,11,11,184,42134.76,212968.8
2016-07-01,2016,7,7,7,122,28758.78,143111.0
2016-08-01,2016,8,11,11,196,44288.82,272543.0
2016-09-01,2016,9,3,3,52,12410.7862896,79448.5
2016-10-01,2016,10,10,10,158,34307.1,209101.29999999996
2016-11-01,2016,11,10,10,202,37930.35,218656.6
2016-12-01,2016,12,12,12,203,41718.605,269661.10000000003
2017-01-01,2017,1,3,3,58,13652.19,75971.1
2017-02-01,2017,2,6,6,100,23495.62,134978.90000000002
2017-03-01,2017,3,11,11,209,40871.59,284701.2
2017-04-01,2017,4,6,6,119,29788.285,163507.7
2017-05-01,2017,5,13,13,300,56770.6,380381.9
2017-06-01,2017,6,15,15,291,63179.14454545454,406743.42
2017-07-01,2017,7,11,11,245,49248.08499999999,328859.1
2017-08-01,2017,8,15,15,385,72606.585,471281.10000000003
2017-09-01,2017,9,16,16,443,74916.57,452587.2
2017-10-01,2017,10,15,15,353,79074.71909090912,512994.63000000006
2017-11-01,2017,11,12,12,330,60091.69,349027.52
2017-12-01,2017,12,17,17,411,101171.68727272729,605185.9
2018-01-01,2018,1,7,7,176,39256.009999999995,237800.38000000003
2018-02-01,2018,2,10,10,230,51993.779545454556,315413.79
2018-03-01,2018,3,13,13,294,66236.82272727274,451115.60000000003
2018-04-01,2018,4,13,13,328,74279.63954545457,491689.74000000005
2018-05-01,2018,5,13,13,344,78157.70999999999,538429.69
2018-06-01,2018,6,21,21,548,125460.45409090909,755972.6299999998
2018-07-01,2018,7,20,20,509,116307.8336318182,792243.5098862
2018-08-01,2018,8,12,12,230,51751.56499999999,371182.01
2018-09-01,2018,9,12,12,410,117919.54741087489,1985081.9
2018-10-01,2018,10,25,25,714,162531.50409090912,1019746.11
2018-11-01,2018,11,12,12,281,65618.40500000001,391054.76999999996
2018-12-01,2018,12,18,18,403,97159.73181818181,627254.1000000001
2019-01-01,2019,1,24,24,791,176381.37908972727,1198630.012
2019-02-01,2019,2,9,9,308,70853.91,436262.49999999994
2019-03-01,2019,3,17,17,533,132952.95618181815,740737.1
2019-04-01,2019,4,13,13,413,97273.0045818182,598952.435
2019-05-01,2019,5,12,12,474,109303.36200000001,694603.063
2019-06-01,2019,6,23,23,859,198743.784091,1288220.6600000001
2019-07-01,2019,7,16,16,461,116155.57123472,696989.7122505482
2019-08-01,2019,8,15,14,397,90858.83,578285.24
2019-09-01,2019,9,16,16,565,148164.45454545456,892796.0
2019-10-01,2019,10,15,15,433,104059.26135,658209.5482747351
2019-11-01,2019,11,16,16,492,124389.2590909091,750900.42916
2019-12-01,2019,12,15,15,510,124180.80234600001,762430.4716277514
2020-01-01,2020,1,16,16,521,128806.21717999999,684354.0497361269
2020-02-01,2020,2,7,7,338,83410.265925,460694.43364433333
2020-03-01,2020,3,10,10,397,94272.180634,578756.8798817608
2020-05-01,2020,5,3,3,94,18762.0,132603.0
2020-06-01,2020,6,7,7,174,36715.899999999994,252221.8
2020-08-01,2020,8,6,6,199,47023.43955,275746.45
2020-09-01,2020,9,8,8,305,70301.214445,404013.86564708065
2020-10-01,2020,10,13,12,454,113522.47504200002,760784.86227
2020-11-01,2020,11,7,7,198,44047.97585,332400.9430540402
2020-12-01,2020,12,11,11,434,102901.36226,706537.8308353028
2021-01-01,2021,1,22,21,829,169808.314535,1144086.4263490555
2021-02-01,2021,2,16,16,532,125877.73499999999,868081.1114532187
2021-03-01,2021,3,18,18,740,161377.17515000002,1019946.5777993518
2021-04-01,2021,4,8,8,363,80044.657,528273.9247969962
2021-05-01,2021,5,33,33,1202,280955.230838,1679504.817505257
2021-06-01,2021,6,26,26,920,217785.14683,1374253.9491472088
2021-07-01,2021,7,21,19,804,187199.44718999998,1188683.1956938219
2021-08-01,2021,8,26,26,1009,233971.68953115644,1459620.8203360855
2021-09-01,2021,9,19,19,717,165485.78469785716,1066783.7148582682
2021-10-01,2021,10,24,24,1008,246551.3030875,1475457.545946594
2021-11-01,2021,11,23,23,1021,231666.15579750566,1640955.2839466147
2021-12-01,2021,12,18,18,646,159656.99054285715,1049275.9565638038
2022-01-01,2022,1,18,18,713,164552.049,1149745.662112011
2022-02-01,2022,2,21,21,832,190041.70329599796,1379548.1142422305
2022-03-01,2022,3,18,18,670,152719.99715,956192.2164007055
2022-04-01,2022,4,29,29,1302,292407.0579146722,1938982.9702669242
2022-05-01,2022,5,22,22,1103,253755.10097999996,1771352.469588933
2022-06-01,2022,6,24,24,994,228835.75355999998,1504858.6550867844
2022-07-01,2022,7,31,31,1340,293277.75233000005,2039114.8374636369
2022-08-01,2022,8,24,24,1007,242469.016395,1438081.2044699998
2022-09-01,2022,9,28,28,1214,282650.11189400003,1543315.9822699998
2022-10-01,2022,10,28,28,1101,247905.857,1438546.12
2022-11-01,2022,11,27,27,1164,428071.30776999996,1602478.5880000002
2022-12-01,2022,12,24,24,928,204096.14865999998,1345723.4519999998
2023-01-01,2023,1,37,37,1534,342710.47515,2341248.5649999995
2023-02-01,2023,2,15,15,718,168151.37066999997,1097644.932
2023-03-01,2023,3,29,29,1327,278756.32276000007,2200026.8800000004
2023-04-01,2023,4,29,29,1367,300259.4871,2092704.8199999994
2023-05-01,2023,5,27,27,1164,269943.59297999996,1863186.3470000003
2023-06-01,2023,6,30,30,1302,305552.59764000005,1899231.2560000003
2023-07-01,2023,7,27,27,1321,306583.96885,1889801.05
2023-08-01,2023,8,23,23,1086,252515.25915499998,1627708.4540000001
2023-09-01,2023,9,28,28,1023,236382.55654999998,1411089.0339999993
2023-10-01,2023,10,40,40,1537,358941.32477000006,2277404.8109999998
2023-11-01,2023,11,13,13,512,134756.06065000003,708813.0799999998
2023-12-01,2023,12,21,21,940,205291.9479849999,1292790.8800000001
2024-01-01,2024,1,29,29,1368,314936.43566799996,2211320.5090000005
2024-02-01,2024,2,34,34,1457,324440.54749400006,2289214.1392099997
2024-03-01,2024,3,31,31,1538,349914.15757597826,2053147.2619300003
2024-04-01,2024,4,43,43,2102,491820.4030162701,3109191.022999999
2024-05-01,2024,5,28,28,972,232753.76273000002,1497055.402
2024-06-01,2024,6,19,19,973,232231.21641999998,1474658.2469999997
2024-07-01,2024,7,21,21,1024,247514.63118,1523602.4152100002
2024-08-01,2024,8,28,28,1171,285656.11488,1783421.1700000004
2024-09-01,2024,9,33,33,1615,379384.06331000006,2238883.61
2024-10-01,2024,10,28,28,1454,342370.2212899999,2111454.3800000004
2024-11-01,2024,11,23,23,1011,249231.08497899995,1648740.9709999997
2024-12-01,2024,12,19,19,898,204439.79640909997,1393600.61
2025-01-01,2025,1,43,43,2122,491216.6536010001,3206127.4870000007
2025-02-01,2025,2,29,29,1572,366721.4673969999,2236408.0982
2025-03-01,2025,3,39,39,1892,417572.37664000003,2922405.9400000004
2025-04-01,2025,4,45,45,2074,484705.82284199994,3144804.175
2025-05-01,2025,5,52,52,2940,640885.0030044998,4005788.6869999995
2025-06-01,2025,6,15,15,814,191428.30224,1285912.87685
2025-07-01,2025,7,41,41,2100,496250.870977,3125100.546
2025-08-01,2025,8,33,33,1739,393067.08947,2555202.45
2025-09-01,2025,9,35,35,1815,421235.0975599999,2951549.0109999995
2025-10-01,2025,10,34,34,1855,417564.39643399994,2795424.0600000005
2025-11-01,2025,11,28,28,1356,319856.69737999997,2030952.74
2025-12-01,2025,12,34,34,1887,410405.049825,2798520.539999999
2026-01-01,2026,1,43,43,2314,500954.99579,3409954.9800000004
2026-02-01,2026,2,41,41,2112,479368.69393500005,3200657.0499999993
2026-03-01,2026,3,29,29,1484,326166.69816999993,2308750.92
2026-04-01,2026,4,29,29,1573,356103.574280061,2352834.55
2026-05-01,2026,5,19,19,1007,220616.19525,1468923.8599999999
2026-06-01,2026,6,24,24,1225,269293.2274,1710306.9400000004
2026-07-01,2026,7,1,1,58,10506.95,81320.89
2026-10-01,2026,10,1,1,49,13246.75,87116.65
2026-11-01,2026,11,1,1,50,13404.43,89412.38
2026-12-01,2026,12,1,1,45,12054.63,80414.76
