periodo,anio,mes,company_count,prod_pet_m3,prod_gas_km3,prod_agua_m3,tef_sum,wells_with_oil,well_count
2025-01-01,2025,1,18,2179998.80217994,2126849.7163021015,1075239.3668891396,58365.85221544446,1952,2608
2025-02-01,2025,2,18,1972456.52119508,2077874.752411401,1026883.771435679,54043.32440988217,1960,2651
2025-03-01,2025,3,19,2199084.28102386,2065144.0906218216,1122977.824713079,59506.1750413244,1985,2683
2025-04-01,2025,4,19,2105994.1580725694,2073959.04582468,1123930.5802054005,57569.85535732549,2030,2727
2025-05-01,2025,5,19,2207064.169495019,2466458.9788110293,1261230.938514101,61765.13167199553,2069,2781
2025-06-01,2025,6,20,2270949.5253819707,2657483.8203152185,1413966.0958348708,63201.85502582221,2146,2824
2025-07-01,2025,7,20,2506760.8039908996,2825146.4729133933,1466335.6874575904,67476.99697625103,2188,2861
2025-08-01,2025,8,21,2595176.4573128494,2792681.1534855594,1544043.0171737177,67790.64219543773,2214,2913
2025-09-01,2025,9,21,2607802.4129095874,2259409.6120071257,1514617.3267297512,64126.20994637773,2247,2946
2025-10-01,2025,10,22,2800987.7386068506,2010321.0984320147,1368550.67347886,65913.17998600003,2287,2989
2025-11-01,2025,11,23,2750778.883023558,1922216.7835221759,1339016.1810508606,64984.43383999994,2301,3016
2025-12-01,2025,12,22,2909815.3252696907,2252340.0059491633,1365447.440520942,70455.38873466993,2355,3052
